foundation,exclusions,residual,n_obs,n_models,n_methods,R_median,R_q2.5,R_q97.5,verdict,max_rhat
Authority,True,method-specific,1309,20,4,0.5268502690539119,0.2066157424620491,1.3455140602645643,indeterminate,1.0
Authority,True,pooled,1309,20,4,0.47733584986618705,0.1883096952189881,1.207748242330237,indeterminate,1.0
Authority,False,method-specific,1312,20,4,0.5219052442534643,0.20511595108792924,1.3420874961642182,indeterminate,1.0
Authority,False,pooled,1312,20,4,0.4738832301139235,0.19319631022201197,1.2179668401240076,indeterminate,1.0
Care,True,method-specific,1216,20,4,0.6148348072281464,0.2366127608835205,1.7149056030619567,indeterminate,1.0
Care,True,pooled,1216,20,4,0.5350514788306855,0.19227074714285608,1.518396103537788,indeterminate,1.0
Care,False,method-specific,1232,20,4,0.6038709799095886,0.23058209342510033,1.6169743569018562,indeterminate,1.0
Care,False,pooled,1232,20,4,0.5178747193492903,0.19343697324706224,1.4133448925954766,indeterminate,1.0
Fairness,True,method-specific,1292,20,4,0.9945535573222687,0.3581151946619912,3.29321593564116,indeterminate,1.0
Fairness,True,pooled,1292,20,4,0.9234284589112528,0.34032280070330717,3.1864753355807656,indeterminate,1.0
Fairness,False,method-specific,1308,20,4,0.9635008806125109,0.35080492646354744,2.865012683091263,indeterminate,1.0
Fairness,False,pooled,1308,20,4,0.9298054619048091,0.33834018776692365,2.879582112749236,indeterminate,1.0
Liberty,True,method-specific,1291,20,4,0.7776143291128463,0.2835785904823642,2.2238876356594286,indeterminate,1.0
Liberty,True,pooled,1291,20,4,0.7449294815207539,0.27419478834238376,2.1658361931710655,indeterminate,1.0
Liberty,False,method-specific,1304,20,4,0.7233687582192219,0.279838920565789,2.0666071877791703,indeterminate,1.0
Liberty,False,pooled,1304,20,4,0.6924017725387003,0.25857056490094316,1.9287422975498296,indeterminate,1.0
Loyalty,True,method-specific,1199,20,4,0.5000862328429267,0.19154640258058572,1.2268381085148132,indeterminate,1.0
Loyalty,True,pooled,1199,20,4,0.4356521320003284,0.17367943221566784,1.0788574902471104,indeterminate,1.0
Loyalty,False,method-specific,1229,20,4,0.49934034888396156,0.1926739712101447,1.243494042722798,indeterminate,1.0
Loyalty,False,pooled,1229,20,4,0.4504470883128548,0.17558193676552616,1.1233637117721498,indeterminate,1.0
Sanctity,True,method-specific,1264,20,4,0.9554225727310796,0.34449039710306106,3.1149917182670688,indeterminate,1.0
Sanctity,True,pooled,1264,20,4,0.8668315893842984,0.31598464440672536,2.7727680816460922,indeterminate,1.0
Sanctity,False,method-specific,1290,20,4,0.9352787112930859,0.33728786617574535,2.897293664399973,indeterminate,1.0
Sanctity,False,pooled,1290,20,4,0.7982673829460841,0.2985431868200338,2.431464267770245,indeterminate,1.0
Social Norms,True,method-specific,1200,20,4,0.14675002460045594,0.06202674495074083,0.3236160138048115,indeterminate,1.0
Social Norms,True,pooled,1200,20,4,0.12678355295980703,0.05368171515053701,0.28547123263558466,indeterminate,1.0
Social Norms,False,method-specific,1232,20,4,0.1408943751147591,0.0613521079953124,0.31073991007743845,indeterminate,1.0
Social Norms,False,pooled,1232,20,4,0.12369105761907992,0.05160298806299031,0.2634398809013975,indeterminate,1.0
