foundation,seed,R_median,R_q2.5,R_q97.5,verdict
Authority,1000,1.0577895879474726,0.5186552968695286,2.1373715662601325,indeterminate
Authority,8919,1.071453485626758,0.5206986547245949,2.2048380295327545,indeterminate
Authority,16838,1.0766270847890949,0.5240884524428515,2.1729659953403675,indeterminate
Authority,24757,1.0625155148399292,0.5232258811343851,2.133910843628805,indeterminate
Authority,32676,1.0718612321168983,0.530944097729629,2.179698492849367,indeterminate
Care,1000,0.6447190377569351,0.31871801170760145,1.2629760504069731,indeterminate
Care,8919,0.6431504984987373,0.3184626304292893,1.2708106884883177,indeterminate
Care,16838,0.6482781496078924,0.32651202794049494,1.243982874564289,indeterminate
Care,24757,0.6603077162982511,0.33448217104434236,1.3199920192083572,indeterminate
Care,32676,0.6526155723664859,0.33675352279000736,1.2448074684677388,indeterminate
Fairness,1000,1.0287171392454577,0.5070817256786594,2.10875458624826,indeterminate
Fairness,8919,1.0236021894667222,0.5084380603469094,2.1719500614846785,indeterminate
Fairness,16838,1.019970882705625,0.5055076914853656,2.17455742615148,indeterminate
Fairness,24757,1.014958903830323,0.5002391943927011,2.1168590885920846,indeterminate
Fairness,32676,0.9952800986255168,0.47745922555388953,2.0853983086994887,indeterminate
Liberty,1000,0.7793687552582428,0.39535226205743534,1.5271228931354193,indeterminate
Liberty,8919,0.783218087481349,0.3873738765654147,1.570549666948448,indeterminate
Liberty,16838,0.7740988562556932,0.384055277194014,1.530644001701446,indeterminate
Liberty,24757,0.7661514186239344,0.3752346223741274,1.5246126887082374,indeterminate
Liberty,32676,0.7600303583778956,0.38574086958954446,1.5404056115923976,indeterminate
Loyalty,1000,0.45789748769976935,0.24281204746971108,0.8491146607375566,indeterminate
Loyalty,8919,0.45717809172550516,0.23331167171224337,0.8425912343428492,indeterminate
Loyalty,16838,0.4561383601110614,0.23817477369170564,0.8355975835962123,indeterminate
Loyalty,24757,0.46100044670632767,0.23265218972982968,0.8520483247398041,indeterminate
Loyalty,32676,0.4577284850367088,0.23695765663990698,0.8440541644072797,indeterminate
Sanctity,1000,0.5787309977687172,0.2845153666531886,1.165990059514873,indeterminate
Sanctity,8919,0.5932888406977372,0.28764366939084285,1.195425516478687,indeterminate
Sanctity,16838,0.5831833918737994,0.29089374224535264,1.1747866989034992,indeterminate
Sanctity,24757,0.5799410784262619,0.2853686367450806,1.1608207920669502,indeterminate
Sanctity,32676,0.5740239059072887,0.2805174222082871,1.16609245804844,indeterminate
Social Norms,1000,0.3425329180218175,0.17468676395633706,0.6289168625145362,indeterminate
Social Norms,8919,0.3429536635208855,0.17814922643064746,0.6149900105410293,indeterminate
Social Norms,16838,0.34099449026045103,0.17928539665372314,0.6139711702355851,indeterminate
Social Norms,24757,0.34679320902234645,0.18015109191619524,0.63145261117733,indeterminate
Social Norms,32676,0.342476313902336,0.17842281786076103,0.6217674002881586,indeterminate
