foundation,is_control,exclusions,scan_excluded,family_effect,residual,n_obs,n_models,n_methods,R_median,R_q2.5,R_q97.5,verdict,max_rhat
Authority,False,True,False,False,method-specific,3021,30,6,1.1570275720224468,0.5635972313059802,2.3522938401568334,indeterminate,1.0
Authority,False,True,False,False,pooled,3021,30,6,1.2068369273032906,0.5807313812468844,2.4868649173055695,indeterminate,1.0
Authority,False,False,False,False,method-specific,3126,31,6,1.0496754560395483,0.5218355577045476,2.155739625703829,indeterminate,1.0
Authority,False,False,False,False,pooled,3126,31,6,1.1120313984547527,0.5584277778320403,2.3117734807176467,indeterminate,1.01
Care,False,True,False,False,method-specific,2814,30,6,0.6317848435221297,0.3097081268792637,1.2243950162730914,indeterminate,1.01
Care,False,True,False,False,pooled,2814,30,6,0.6323865626192724,0.31003357343247784,1.2676764761443329,indeterminate,1.01
Care,False,False,False,False,method-specific,2942,31,6,0.667285218194807,0.32824709728783547,1.2894635980798848,indeterminate,1.01
Care,False,False,False,False,pooled,2942,31,6,0.6595541424443991,0.3229799659959068,1.2860369828562828,indeterminate,1.01
Fairness,False,True,False,False,method-specific,3008,30,6,0.9567480844124854,0.45978567944607807,1.9912033052605298,indeterminate,1.01
Fairness,False,True,False,False,pooled,3008,30,6,0.9955671561572559,0.4803113008004816,2.0785742226810076,indeterminate,1.01
Fairness,False,False,False,False,method-specific,3126,31,6,1.0294997091647815,0.5202335645445594,2.1273806027291045,indeterminate,1.0
Fairness,False,False,False,False,pooled,3126,31,6,1.075494512734944,0.5239503808956446,2.2200714048745733,indeterminate,1.01
Liberty,False,True,False,False,method-specific,3006,30,6,0.7560846106157288,0.38121666646242985,1.4786552446382855,indeterminate,1.01
Liberty,False,True,False,False,pooled,3006,30,6,0.7924392805300673,0.3790761402582658,1.583424477942815,indeterminate,1.02
Liberty,False,False,False,False,method-specific,3120,31,6,0.7713367683758414,0.39117884176582446,1.5198065173268862,indeterminate,1.01
Liberty,False,False,False,False,pooled,3120,31,6,0.7833866981967179,0.39031995191901764,1.518608209874316,indeterminate,1.01
Loyalty,False,True,False,False,method-specific,2809,30,6,0.48475713936965026,0.2432780198923106,0.9387091882949224,indeterminate,1.0
Loyalty,False,True,False,False,pooled,2809,30,6,0.47555613636507016,0.24681083655541944,0.8971428886543502,indeterminate,1.0
Loyalty,False,False,False,False,method-specific,2935,31,6,0.46786301883385284,0.24674684979792677,0.8524841497776007,indeterminate,1.0
Loyalty,False,False,False,False,pooled,2935,31,6,0.4581746731311038,0.2358310106949194,0.8471341992942919,indeterminate,1.0
Sanctity,False,True,False,False,method-specific,2974,30,6,0.5450165306177694,0.2572675748434919,1.0845774076745116,indeterminate,1.01
Sanctity,False,True,False,False,pooled,2974,30,6,0.5848906279600858,0.29027718105250616,1.1567478408923346,indeterminate,1.01
Sanctity,False,False,False,False,method-specific,3102,31,6,0.5740414352570193,0.27681849481422016,1.1225494863111365,indeterminate,1.03
Sanctity,False,False,False,False,pooled,3102,31,6,0.6139607029962766,0.3074954497074375,1.203155417679229,indeterminate,1.01
Social Norms,True,True,False,False,method-specific,2810,30,6,0.4389612027562123,0.22315177672797104,0.8182842319076425,indeterminate,1.0
Social Norms,True,True,False,False,pooled,2810,30,6,0.43522380485407075,0.22465692975786222,0.8030786200418812,indeterminate,1.0
Social Norms,True,False,False,False,method-specific,2938,31,6,0.3343983042334079,0.1743693557102627,0.5996297220724257,indeterminate,1.0
Social Norms,True,False,False,False,pooled,2938,31,6,0.3325831496717128,0.1769550904997687,0.6079050337903062,indeterminate,1.0
