foundation,is_control,exclusions,scan_excluded,family_effect,residual,n_obs,n_models,n_methods,R_median,R_q2.5,R_q97.5,verdict,max_rhat
Authority,False,True,False,True,method-specific,3021,30,6,1.2114831802856814,0.556101096062601,2.7209099306152433,indeterminate,1.0
Authority,False,True,False,True,pooled,3021,30,6,1.2284144157235333,0.5900586195593536,2.592058163149975,indeterminate,1.01
Authority,False,False,False,True,method-specific,3126,31,6,1.1086515937527706,0.5346503417726642,2.3337885545004418,indeterminate,1.0
Authority,False,False,False,True,pooled,3126,31,6,1.1222391221344818,0.5405997140076295,2.4442697321098743,indeterminate,1.0
Care,False,True,False,True,method-specific,2814,30,6,0.6604360769832618,0.32932480814127674,1.3645254176562236,indeterminate,1.01
Care,False,True,False,True,pooled,2814,30,6,0.6722577759363006,0.32021062888076135,1.4333602071293157,indeterminate,1.0
Care,False,False,False,True,method-specific,2942,31,6,0.6983309342833302,0.33715393392415716,1.4230805195823573,indeterminate,1.01
Care,False,False,False,True,pooled,2942,31,6,0.6972255965780589,0.3462252209942527,1.439112642308181,indeterminate,1.0
Fairness,False,True,False,True,method-specific,3008,30,6,0.9313677778164879,0.440247082142197,1.9065648328330524,indeterminate,1.0
Fairness,False,True,False,True,pooled,3008,30,6,0.969918039439762,0.46004201672404604,2.0076408081427983,indeterminate,1.01
Fairness,False,False,False,True,method-specific,3126,31,6,1.004600503386202,0.48384116120989507,2.0865743656574582,indeterminate,1.0
Fairness,False,False,False,True,pooled,3126,31,6,1.0516134510725843,0.5128330153841564,2.199513474429357,indeterminate,1.01
Liberty,False,True,False,True,method-specific,3006,30,6,0.8350042170876096,0.3860944950746112,1.7189247917413673,indeterminate,1.0
Liberty,False,True,False,True,pooled,3006,30,6,0.8530686895087128,0.40070314654662376,1.8176959286876344,indeterminate,1.0
Liberty,False,False,False,True,method-specific,3120,31,6,0.8328871628291662,0.40813797625498954,1.7219391237428794,indeterminate,1.0
Liberty,False,False,False,True,pooled,3120,31,6,0.8697048232712441,0.4176957054420118,1.8150223428963768,indeterminate,1.0
Loyalty,False,True,False,True,method-specific,2809,30,6,0.47219637220422306,0.23544049896243407,0.8987969559807847,indeterminate,1.0
Loyalty,False,True,False,True,pooled,2809,30,6,0.4571203577278795,0.23165450492950254,0.8802035102507496,indeterminate,1.0
Loyalty,False,False,False,True,method-specific,2935,31,6,0.4604364222885863,0.23350327164689139,0.8851481430437541,indeterminate,1.0
Loyalty,False,False,False,True,pooled,2935,31,6,0.4521486224682113,0.23204815922296312,0.8467178838857929,indeterminate,1.0
Sanctity,False,True,False,True,method-specific,2974,30,6,0.549445766369038,0.27052324890485135,1.1474910854878495,indeterminate,1.01
Sanctity,False,True,False,True,pooled,2974,30,6,0.5774667226622225,0.27974092138463336,1.1698862419456435,indeterminate,1.0
Sanctity,False,False,False,True,method-specific,3102,31,6,0.5902603066488779,0.2873806934172694,1.2004387238804417,indeterminate,1.02
Sanctity,False,False,False,True,pooled,3102,31,6,0.6125709156395553,0.3003967450130125,1.250609957682233,indeterminate,1.01
Social Norms,True,True,False,True,method-specific,2810,30,6,0.42633074733020127,0.20613274995334388,0.7972275713655088,indeterminate,1.01
Social Norms,True,True,False,True,pooled,2810,30,6,0.43163085074731405,0.22552138988247178,0.7895664981814714,indeterminate,1.0
Social Norms,True,False,False,True,method-specific,2938,31,6,0.3338553364666407,0.17121900800333947,0.6193838814462231,indeterminate,1.0
Social Norms,True,False,False,True,pooled,2938,31,6,0.3332901635046738,0.17693561840326644,0.6082078920440519,indeterminate,1.0
