foundation,is_control,exclusions,scan_excluded,family_effect,residual,n_obs,n_models,n_methods,R_median,R_q2.5,R_q97.5,verdict,max_rhat
Authority,False,True,True,False,method-specific,2362,30,5,0.41365165357896844,0.199075590186496,0.836210926765818,indeterminate,1.0
Authority,False,True,True,False,pooled,2362,30,5,0.4559365912027199,0.21701196338793247,0.9206749549325564,indeterminate,1.01
Authority,False,False,True,False,method-specific,2447,31,5,0.42265317907394734,0.20913208174779174,0.8684162106050585,indeterminate,1.0
Authority,False,False,True,False,pooled,2447,31,5,0.46485160068878584,0.2337215515894878,0.8983945662565552,indeterminate,1.0
Care,False,True,True,False,method-specific,2188,30,5,0.1441067684462956,0.06145170055803114,0.3225123342290692,indeterminate,1.0
Care,False,True,True,False,pooled,2188,30,5,0.1818464324281118,0.08253734892939268,0.377911822539749,indeterminate,1.01
Care,False,False,True,False,method-specific,2295,31,5,0.2055146989872082,0.09238708825044988,0.4206413953377608,indeterminate,1.0
Care,False,False,True,False,pooled,2295,31,5,0.237246716016958,0.11137806590788502,0.4747593749960793,indeterminate,1.01
Fairness,False,True,True,False,method-specific,2366,30,5,0.35635973008579336,0.1732280431388047,0.718519717167174,indeterminate,1.01
Fairness,False,True,True,False,pooled,2366,30,5,0.402043669675572,0.20427032226562192,0.8138858919909548,indeterminate,1.0
Fairness,False,False,True,False,method-specific,2465,31,5,0.45123745595103815,0.2179313185544817,0.8739456458069321,indeterminate,1.01
Fairness,False,False,True,False,pooled,2465,31,5,0.493060394850085,0.24488740054896216,0.9675333650549048,indeterminate,1.0
Liberty,False,True,True,False,method-specific,2367,30,5,0.29388679889658476,0.1397825537971896,0.590807871795344,indeterminate,1.01
Liberty,False,True,True,False,pooled,2367,30,5,0.3268702322767168,0.15786597643045908,0.64975192464829,indeterminate,1.02
Liberty,False,False,True,False,method-specific,2460,31,5,0.32467493660839153,0.16413777898386236,0.6505587573708139,indeterminate,1.01
Liberty,False,False,True,False,pooled,2460,31,5,0.365091660643722,0.1761290338571858,0.7339068616231781,indeterminate,1.01
Loyalty,False,True,True,False,method-specific,2184,30,5,0.16392502658924823,0.08137489718303555,0.32265910976532963,indeterminate,1.0
Loyalty,False,True,True,False,pooled,2184,30,5,0.16457330948948637,0.08103089213397474,0.3180964588224062,indeterminate,1.0
Loyalty,False,False,True,False,method-specific,2290,31,5,0.19062313631235037,0.09587584938725138,0.3567423434000144,indeterminate,1.0
Loyalty,False,False,True,False,pooled,2290,31,5,0.19160945711594934,0.09517522650674866,0.3766127941143857,indeterminate,1.0
Sanctity,False,True,True,False,method-specific,2307,30,5,0.20771553971859855,0.08233792844045007,0.4612197004182677,indeterminate,1.02
Sanctity,False,True,True,False,pooled,2307,30,5,0.2649857048044889,0.11975837899936952,0.5501757754654681,indeterminate,1.01
Sanctity,False,False,True,False,method-specific,2418,31,5,0.2540807139102884,0.10898620110518285,0.5437073431714792,indeterminate,1.0
Sanctity,False,False,True,False,pooled,2418,31,5,0.3142258371293425,0.14699379333896645,0.6547246313244668,indeterminate,1.01
Social Norms,True,True,True,False,method-specific,2208,30,5,0.13732991734353964,0.07093237306493785,0.25805146415348224,indeterminate,1.01
Social Norms,True,True,True,False,pooled,2208,30,5,0.11648075947083827,0.05990286034640149,0.22307199048358498,robust,1.01
Social Norms,True,False,True,False,method-specific,2317,31,5,0.1090305287665699,0.058299014936382725,0.1951356876286946,robust,1.0
Social Norms,True,False,True,False,pooled,2317,31,5,0.0932081664399155,0.04675818222844784,0.17246723188885096,robust,1.01
